COVID-19 Vaccinations in the United States
Date generated: Mon Mar 21 2022 08:21:22 GMT+0800 (中国标准时间)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,698418375,210361,270432,558544815,168232,505257816,195639,254984673,76.8,227870785,88.2,217060180,65.4,194495659,75.3,409361615,258601860,30454900,0,18550586,209886918,329586959,520352,75658937,124421656,16831557,148030,75571848,101983003,16800313,140495,N/A,76.8,N/A,88.2,62,183450897,71,254984673,56214657,95,48729696,88.9,23230591,23083702,2351895,63508,137749669,251405,1274670,245128387,86.5,209223063,73.8,75652697,116597639,16826540,146187,540753314,190728,246338,254897966,81.6,217028058,69.5,75655789,124395879,16828500,147890,558427851,178831,223662,96617421,44.5,96596512,46.2,93244763,47.9,32634225,67,41681558,53451493,1457980,26390,48587666,36133866,5328717,N/A,49898552,38850653,1359575,26185,45159823,3383877,33290,10676,2860086,33231246,33623,8911,1834975,2199766,1292360,1616,43668,35764,302,4982,92.9,7,0.1,0,7.9,92,0.1,0,34.4,41.3,24.3,0,51.5,42.2,0.4,5.9
Alaska,1469265,200844,266383,1109810,151708,995397,180469,505050,69,447637,81.2,449818,61.5,400575,72.6,818145,567420,83700,0,46251,427271,635299,989,159799,248498,41404,117,159365,199860,41239,111,N/A,69,N/A,81.2,56.9,367185,66.6,505050,86060,94,78327,85.5,42934,31666,3682,45,213779,233414,1604210,483518,79.4,432906,71.1,159792,231600,41397,117,1070790,175863,241307,504783,74.2,449705,66.1,159794,248395,41399,117,1109430,163040,215921,188816,42,188740,43.6,181577,45.3,56156,71.7,83857,102072,2862,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,9355140,190797,245228,6145092,125329,5736878,150382,3048527,62.2,2822899,74,2478935,50.6,2310454,60.6,4903480,4055860,395800,0,176037,2675561,3292994,500,1022290,1291395,164579,671,1021787,1123520,164481,666,N/A,62.2,N/A,74,48.1,2191706,57.5,3048527,810182,95,690658,81.3,366696,286642,36896,424,1840203,216536,1100820,2985665,71.3,2438463,58.2,1022270,1250954,164568,671,6039169,144240,223439,3048096,66.1,2478871,53.8,1022286,1291344,164570,671,6144606,133323,202983,861294,34.7,861183,35.3,847143,36.7,395858,57.3,424608,421193,15398,95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5926980,196400,255732,4123431,136637,3761269,162288,1993444,66.1,1796775,77.5,1625296,53.9,1473009,63.6,3195460,2479820,251700,0,122316,1759451,2237719,3945,660506,851285,112257,1248,659323,701104,111706,876,N/A,66.1,N/A,77.5,51.2,1392729,60.1,1993444,496128,94.7,417143,79.6,234253,166664,15747,479,1157935,221030,1131360,1929782,75.5,1581053,61.8,660483,807528,112127,915,4015890,157040,231772,1991457,70.4,1624862,57.4,660493,850987,112136,1246,4121115,145656,209483,624339,38.4,624200,39.5,609013,41.3,262728,63,305110,308932,9837,460,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,114610,241834,365757,100375,211797,74398,237428,44359,93.6,31670,95,39840,84.1,28387,90.6,90510,23500,600,0,564,23640,75626,545,9271,29721,576,272,9250,18292,575,270,N/A,93.6,N/A,95,83.3,28035,89.5,44359,3107,94.8,2836,86.5,1174,1630,27,5,7666,233862,3496340,38280,95,34481,93.4,9270,24363,576,272,88864,240713,310453,44351,95,39840,92.4,9271,29721,576,272,100367,232816,265855,16786,42.1,16778,48.7,15048,53,1848,65.2,4109,12677,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,14238520,195619,252524,11681752,160492,10529907,186751,5238524,72,4637875,82.3,4411118,60.6,3950643,70.1,8178100,5454920,605500,0,365168,4590707,6699297,26580,1623625,2449958,330427,7108,1622877,1990830,329956,6980,N/A,72,N/A,82.3,57.3,3711921,65.8,5238524,1284336,95,1113760,85.1,542538,516911,50534,3777,3270714,249934,1088050,5025295,81,4265065,68.7,1623571,2304232,330180,7082,11312749,182286,229429,5237547,76.5,4410810,64.4,1623608,2449905,330189,7108,11680623,170547,207894,1778601,40.3,1777949,41.7,1714022,43.4,663160,59.5,782885,971322,23061,1333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,337030,N/A,N/A,309157,N/A,309155,N/A,143353,N/A,143351,N/A,133146,N/A,133145,N/A,170610,150320,16100,0,14162,139804,155159,32,52732,66934,13480,0,52732,66934,13479,0,N/A,N/A,N/A,N/A,0,123028,0,143353,3927,0,3649,0,1757,1696,196,0,9858,0,0,143351,0,133145,0,52732,66934,13479,0,309155,0,0,143351,0,133145,0,52732,66934,13479,0,309155,0,0,45246,34,45246,34,45246,34,2444,67,27749,16832,643,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,86911385,219961,283861,72351430,183112,64497046,210654,32531944,82.3,28593453,93.4,28034774,71,24673334,80.6,52139005,31077180,3695200,0,2291678,26962605,43081674,15473,9616902,16334314,2078614,4944,9590075,13008032,2070655,4572,N/A,82.3,N/A,93.4,67.9,23466880,76.6,32531944,5990644,95,5196753,89,2625811,2367755,201716,1471,14761206,252842,1488690,31074868,92.4,26845458,79.8,9616113,15146476,2077987,4882,69706019,207173,258309,32511437,87.6,28024450,75.5,9616589,16324690,2078228,4943,72320854,194785,234083,13797428,49.2,13795442,51.4,13221776,53.6,3714309,71.5,5961912,7617111,217862,543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11989875,208203,266488,10404825,180679,9374662,208362,4532427,78.7,4021256,89.4,4007775,69.6,3566829,79.3,7087435,4414940,487500,0,339256,4022205,6033733,9631,1427594,2266841,310676,2664,1426954,1826986,310326,2563,N/A,78.7,N/A,89.4,66.4,3380992,75.1,4532427,853409,95,776305,92.2,369984,376599,28836,886,2230099,264728,1423280,4334900,87.8,3846713,77.9,1427519,2105893,310650,2651,10045150,203505,242904,4531007,83.5,4007698,73.9,1427579,2266798,310657,2664,10403345,191712,220949,2027483,50.6,2027073,52.7,1949197,54.6,576478,74.3,900681,1100715,25578,509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,8399135,235581,295969,7360833,206458,6600977,232605,3365822,94.4,2985589,95,2788813,78.2,2470520,87.1,4824775,3233060,341300,0,247962,2778723,4332927,1221,941402,1616912,230050,449,940865,1299452,229860,343,N/A,94.4,N/A,95,74.2,2326983,82,3365822,730652,95,601742,95,236518,342408,22714,102,1776998,281954,1332680,3227294,95,2675122,86.1,941072,1503638,229966,446,7107012,228819,270421,3364326,95,2788368,82.4,941194,1616756,229970,448,7358926,217490,248232,1408374,50.5,1408214,52.6,1351493,54.7,445612,74.1,645084,746012,17256,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
